1605285650,64707,207,195,200,197,202,187,200,207,210,210,200,197,195,192,195,197,207,202,212,192,197,197,190,187,202,200,202,195,197,202,195,200,202,202,197,192,192,192,190,182,197,190,200,187,192,187,197,185,202,192,202,195,195,197,190,187,200,200,190,190,190,195,197,177
1605285651,64707,207,200,195,202,200,195,202,220,205,205,195,197,195,195,192,205,205,212,207,195,205,192,202,187,200,207,202,200,200,197,200,200,202,200,190,195,190,185,190,182,197,192,192,197,195,187,197,192,200,202,197,190,192,197,200,192,192,195,202,197,197,200,207,182
1605285652,64707,202,215,200,195,197,192,197,212,202,205,202,200,200,192,192,207,207,205,205,197,200,195,202,187,210,197,207,205,200,197,200,200,202,205,192,192,195,195,197,195,192,192,192,197,197,190,197,185,195,190,202,202,195,197,200,195,207,210,192,197,195,197,200,190
1605285653,64707,192,212,197,197,197,185,190,217,210,205,200,197,202,187,195,200,210,215,210,202,200,210,197,177,195,205,205,200,205,200,190,195,202,207,192,195,185,185,190,190,190,200,192,192,195,185,202,182,192,197,197,197,195,190,197,187,195,200,195,197,195,192,202,180
1605285654,64707,205,207,202,192,207,185,192,217,210,205,207,195,200,197,195,200,202,207,207,192,200,202,197,190,207,205,202,200,197,195,195,202,202,197,192,197,195,192,195,187,197,192,200,192,190,185,190,187,197,190,192,197,197,187,197,185,207,192,190,200,200,190,187,182
1605285655,64707,207,202,200,197,190,195,195,212,207,207,205,192,190,190,192,197,202,205,200,205,200,200,192,182,197,202,205,190,195,192,195,200,200,202,190,190,192,182,187,190,192,200,195,190,200,185,195,185,200,202,195,202,195,190,190,187,200,190,197,195,195,187,197,177
1605285656,64707,200,205,197,195,197,195,195,207,205,202,202,195,195,195,197,202,205,207,202,197,195,195,190,190,200,197,202,200,192,197,195,192,202,207,197,190,195,185,182,192,192,197,195,187,190,190,195,187,195,197,195,192,195,197,197,187,207,192,190,200,190,202,192,182
1605285657,64707,212,205,192,197,197,187,190,217,210,210,195,190,192,197,192,200,197,202,202,205,195,200,192,185,202,200,200,197,195,195,185,197,197,197,192,192,190,182,190,177,195,197,192,192,190,187,192,182,197,200,197,197,195,190,197,180,195,202,200,205,187,195,205,182
1605285658,64707,195,205,200,195,192,192,185,217,202,212,200,195,200,195,187,202,205,207,205,197,195,195,197,192,202,195,202,197,197,200,190,192,197,192,187,185,195,192,180,182,192,195,192,190,195,187,195,187,202,200,202,195,195,197,192,185,200,197,195,197,195,200,192,172
1605285659,64707,205,210,202,197,192,192,190,217,202,207,200,195,200,197,200,207,202,205,205,207,197,197,187,187,200,200,195,205,195,192,192,192,200,200,192,197,200,187,190,195,197,195,192,195,192,182,195,195,195,197,192,202,200,192,205,192,207,200,195,195,197,205,195,180
